epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,25529.3,1.4273,0.90128,0.00381,0.86378,0.71621,0.81756,0.49071,1.33555,0.80989,0.00482,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26097.8,1.42697,0.89965,0.00378,0.86573,0.71548,0.81829,0.49093,1.33399,0.8078,0.00481,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26669.2,1.42682,0.89486,0.00378,0.86761,0.71252,0.81862,0.49305,1.33447,0.80178,0.0048,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27242.1,1.41936,0.89353,0.00376,0.87313,0.70863,0.82032,0.49882,1.33206,0.80231,0.00479,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27815.1,1.41722,0.89139,0.00375,0.87252,0.70824,0.82028,0.49951,1.33116,0.80208,0.00479,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28385.2,1.40814,0.88262,0.00371,0.87086,0.7088,0.82051,0.49985,1.32928,0.7963,0.00479,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28958.7,1.41288,0.88561,0.00371,0.87313,0.70539,0.8211,0.50114,1.32642,0.79754,0.00478,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,29371.3,1.40444,0.87541,0.0037,0.87453,0.70506,0.82184,0.50165,1.32615,0.79478,0.00477,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29706.3,1.39798,0.87613,0.00368,0.87499,0.70801,0.82419,0.50297,1.32378,0.79418,0.00476,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,30037.3,1.40051,0.8725,0.00368,0.87583,0.70831,0.82496,0.5034,1.32489,0.79202,0.00479,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30373.5,1.39263,0.87249,0.00367,0.87584,0.70712,0.82596,0.50547,1.32199,0.79215,0.00479,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30709.2,1.38732,0.86673,0.00366,0.88215,0.70626,0.82663,0.50616,1.31898,0.79133,0.00478,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,31041,1.38456,0.86,0.00364,0.88058,0.70736,0.82707,0.50672,1.31834,0.78638,0.00474,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31373.8,1.38298,0.85698,0.00363,0.87916,0.70751,0.82728,0.50823,1.31776,0.78302,0.00472,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31716.8,1.37508,0.85454,0.00362,0.86445,0.75193,0.83633,0.51118,1.3159,0.78385,0.00473,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32046.2,1.37581,0.85512,0.00361,0.88227,0.74082,0.83692,0.51263,1.3147,0.78193,0.00472,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32378,1.36875,0.84499,0.00359,0.88436,0.7426,0.83789,0.51177,1.31298,0.78023,0.00471,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32708.8,1.36672,0.84374,0.00358,0.88086,0.74366,0.83828,0.51239,1.31127,0.77906,0.00471,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33040.7,1.36114,0.84232,0.00357,0.87825,0.74751,0.83793,0.51176,1.30979,0.77701,0.0047,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33368.2,1.35937,0.83534,0.00354,0.87095,0.75432,0.83803,0.51561,1.30766,0.7751,0.00469,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33697.9,1.35088,0.8309,0.00353,0.87807,0.75018,0.83848,0.51636,1.30512,0.77605,0.00468,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34029.5,1.35064,0.83398,0.00352,0.88492,0.74924,0.83882,0.51808,1.30385,0.77492,0.0047,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,34359,1.34488,0.82736,0.0035,0.88664,0.75066,0.83958,0.51875,1.30321,0.77173,0.0047,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,34688.3,1.34185,0.82667,0.0035,0.89034,0.75001,0.84042,0.52034,1.30253,0.76965,0.00469,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,35020,1.33693,0.8251,0.00348,0.8892,0.75131,0.84115,0.52192,1.30182,0.76674,0.00469,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,35349.5,1.3357,0.82131,0.00349,0.89084,0.75109,0.84172,0.52254,1.29948,0.76619,0.00468,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,35679.3,1.33421,0.81907,0.00344,0.89201,0.75266,0.8423,0.51929,1.29871,0.76448,0.00468,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,36008.5,1.32982,0.81358,0.00344,0.88974,0.75182,0.84269,0.52461,1.29707,0.76311,0.00468,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,36336.9,1.3186,0.80786,0.00342,0.89496,0.75076,0.84346,0.52608,1.29536,0.76021,0.00467,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,36667.8,1.31698,0.80637,0.00341,0.89556,0.75098,0.84396,0.52626,1.29413,0.75721,0.00466,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,37013.1,1.26606,0.7494,0.00361,0.89907,0.74874,0.84534,0.52768,1.29302,0.75508,0.00465,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,37340.2,1.25168,0.74406,0.00355,0.90443,0.74689,0.84569,0.52824,1.29176,0.75239,0.00465,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,37667.6,1.24218,0.73476,0.0035,0.90172,0.74856,0.84635,0.52923,1.29038,0.75026,0.00463,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,37987.8,1.23954,0.72994,0.0035,0.90355,0.75032,0.84683,0.5297,1.28835,0.75045,0.00462,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,38313.1,1.23113,0.72791,0.00345,0.90489,0.75078,0.84739,0.53054,1.28613,0.7489,0.00462,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,38637.3,1.22872,0.72269,0.00345,0.90476,0.75015,0.84748,0.53078,1.2846,0.74724,0.00461,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,38960.2,1.22291,0.72107,0.00343,0.90569,0.74916,0.84818,0.53197,1.28431,0.74248,0.00461,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,39285.3,1.21402,0.71386,0.00342,0.90583,0.74867,0.84883,0.53324,1.28399,0.74006,0.00461,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,39607.5,1.21481,0.71282,0.0034,0.90006,0.75107,0.8494,0.53436,1.28154,0.74196,0.00461,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,39929.2,1.20736,0.70937,0.00339,0.89833,0.75214,0.8498,0.53575,1.28015,0.73941,0.0046,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
